name,steam_appid,required_age,controller_support,supported_languages,developers,publishers,platforms,categories,genres,release_date,followers,estimated_wishlists,tags,price,estimated_revenue,currency,owners,average_forever,average_2weeks,median_forever,median_2weeks,concurrent_users,total_positive,total_negative,total_reviews
SENRAN KAGURA Burst Re:Newal,889510,17,none,"English, Japanese, French, Korean, Simplified Chinese, Traditional Chinese",Tamsoft,"XSEED Games,Marvelous USA, Inc.,Marvelous",windows,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",Action,"Jan 22, 2019",22099,265188,"Anime,Sexual Content,Action,Nudity,Hack and Slash,Female Protagonist,Mature,Singleplayer,Beat 'em up,Character Customization,Ninja,Hentai,NSFW,Fighting,Story Rich,Great Soundtrack,Third Person,Visual Novel,Character Action Game,Cute",29.99,1551718,USD,"50,000 .. 100,000",0,0,0,0,24,2022,152,2174
Princess Kidnapper VR,558050,0,none,English,MAGIC ERA,MAGIC ERA,windows,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Action,Adventure,Casual,Indie,Strategy","Nov 17, 2016",55,660,"Strategy,Action,Adventure,Indie,Casual,VR,Archery",6.99,1164,USD,"0 .. 20,000",0,0,0,0,0,4,3,7
JurassicDragon and the Binary Relic,2511420,12,full,English,"access computer services ltd,jurassicdragon1",access computer services ltd,windows,"Single-player,Steam Achievements,Full controller support,Family Sharing","Action,Adventure,Casual,Indie,Simulation","Aug 4, 2023",13,156,"Action,Adventure,Action-Adventure,Puzzle,3D,Abstract,First-Person,Stylized,Aliens,Atmospheric,Dinosaurs,Dragons,Fantasy,Horror,Lore-Rich,Mystery,Sci-fi,Surreal,Narration,Casual",2.99,213,USD,"0 .. 20,000",0,0,0,0,0,3,0,3
EXOTIUM - Episode 8,1448170,0,none,French,ALPHY,ALPHY,windows,"Single-player,Family Sharing","Casual,Indie","Mar 16, 2021",21,252,"Indie,Casual,Walking Simulator,Narration,Interactive Fiction,Solitaire,3D,Cinematic,Singleplayer",0.99,0,USD,"0 .. 20,000",0,0,0,0,0,0,0,0
PROJECT;HYPATIOS,2609920,0,none,English,FerryCafe,FerryCafe,windows,"Single-player,Family Sharing","Action,RPG,Strategy","Dec 12, 2023",83,996,"FPS,Roguelite,Sci-fi,RPG,Philosophical,Cyberpunk,Shooter,Strategy,Alternate History,First-Person,Noir,Action Roguelike,Time Travel,Roguelike,Action,Conversation,Fantasy,Dark Humor,Abstract,Realistic",4.99,237,USD,"0 .. 20,000",0,0,0,0,0,1,1,2
Gamble Tower,1577460,0,none,"English, Portuguese - Brazil",Indiebuild,Indiebuild,windows,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","RPG,Strategy","Sep 1, 2023",336,4032,"Strategy,Roguelike Deckbuilder,Roguelite,Gambling,Deckbuilding,Card Battler,Turn-Based Combat,Turn-Based Strategy,Card Game,Roguelike,Fantasy,Stylized,2D,Medieval,Singleplayer,Hand-drawn,Turn-Based Tactics,Loot,Magic,Combat",15.99,8372,USD,"0 .. 20,000",0,0,0,0,2,21,1,22
Mutant College,3291310,0,none,"English, Italian",Space Samurai Studio,Space Samurai Studio,"windows,mac,linux","Single-player,Steam Achievements,Steam Cloud,Family Sharing","Adventure,Indie,Early Access","Jan 20, 2025",1633,19596,,12.99,12057,USD,"0 .. 20,000",0,0,0,0,36,29,10,39
Draconic Date,2336610,0,none,English,Wataponno,Wataponno,windows,"Single-player,Remote Play Together,Family Sharing",Casual,"Nov 29, 2024",212,2544,,1.99,615,USD,"0 .. 20,000",0,0,0,0,0,11,2,13
Acceleration of SUGURI X-Edition HD,265170,0,none,English,Orange_Juice,"Rockin Android,Rockin' Android",windows,"Single-player,Multi-player,Partial Controller Support,Steam Cloud,Family Sharing","Action,Indie","Jul 1, 2014",1284,15408,"Anime,Action,Indie,Bullet Hell,Fighting,Shoot 'Em Up,Female Protagonist,Local Multiplayer",5.99,20671,USD,"20,000 .. 50,000",0,0,0,0,0,126,19,145
The Running Man,1343970,0,full,English,samuel crevier,samuel crevier,windows,"Single-player,Full controller support,Family Sharing","Action,Adventure,Indie,Racing","Jun 25, 2020",133,1596,"2D Platformer,Action,Adventure,Casual,Parkour,Platformer,3D,Singleplayer,Stealth,Indie,Racing",0.99,70,USD,"0 .. 20,000",0,0,0,0,2,3,0,3
